Date,Price
2025-01-01,101.04
2025-01-02,100.81
2025-01-03,102.17
2025-01-04,105.33
2025-01-05,104.89
2025-01-06,104.45
2025-01-07,107.81
2025-01-08,109.51
2025-01-09,108.54
2025-01-10,109.77
2025-01-11,108.81
2025-01-12,107.85
2025-01-13,108.43
2025-01-14,104.33
2025-01-15,100.79
2025-01-16,99.7
2025-01-17,97.73
2025-01-18,98.4
2025-01-19,96.66
2025-01-20,93.98
2025-01-21,96.78
2025-01-22,96.39
2025-01-23,96.57
2025-01-24,93.86
2025-01-25,92.89
2025-01-26,93.14
2025-01-27,91.04
2025-01-28,91.77
2025-01-29,90.72
2025-01-30,90.23
2025-01-31,89.19
2025-02-01,92.54
2025-02-02,92.56
2025-02-03,90.65
2025-02-04,92.19
2025-02-05,89.98
2025-02-06,90.4
2025-02-07,86.91
2025-02-08,84.64
2025-02-09,85.02
2025-02-10,86.31
2025-02-11,86.65
2025-02-12,86.5
2025-02-13,86.02
2025-02-14,83.52
2025-02-15,82.36
2025-02-16,81.64
2025-02-17,83.41
2025-02-18,84.02
2025-02-19,81.1
2025-02-20,81.67
2025-02-21,81.08
2025-02-22,80.02
2025-02-23,81.04
2025-02-24,82.75
2025-02-25,84.33
2025-02-26,82.96
2025-02-27,82.49
2025-02-28,83.08
2025-03-01,84.74
2025-03-02,83.97
2025-03-03,83.7
2025-03-04,81.89
2025-03-05,79.97
2025-03-06,81.31
2025-03-07,83.56
2025-03-08,83.48
2025-03-09,85.2
2025-03-10,85.86
2025-03-11,84.79
2025-03-12,85.45
2025-03-13,88.12
2025-03-14,88.1
2025-03-15,90.9
2025-03-16,86.18
2025-03-17,87.64
2025-03-18,87.84
2025-03-19,87.36
2025-03-20,87.56
2025-03-21,84.12
2025-03-22,83.8
2025-03-23,84.44
2025-03-24,86.97
2025-03-25,86.12
2025-03-26,84.77
2025-03-27,83.96
2025-03-28,85.54
2025-03-29,86.14
2025-03-30,85.27
2025-03-31,86.19
2025-04-01,86.4
2025-04-02,88.12
2025-04-03,86.93
2025-04-04,86.4
2025-04-05,85.77
2025-04-06,83.3
2025-04-07,83.83
2025-04-08,84.31
2025-04-09,84.36
2025-04-10,84.01
