Date,Price
2025-01-01,97.22
2025-01-02,96.45
2025-01-03,95.84
2025-01-04,94.35
2025-01-05,94.09
2025-01-06,94.9
2025-01-07,98.52
2025-01-08,98.92
2025-01-09,99.48
2025-01-10,99.38
2025-01-11,95.61
2025-01-12,95.61
2025-01-13,95.77
2025-01-14,100.54
2025-01-15,100.2
2025-01-16,100.86
2025-01-17,100.84
2025-01-18,98.53
2025-01-19,100.83
2025-01-20,102.4
2025-01-21,104.07
2025-01-22,102.23
2025-01-23,105.15
2025-01-24,102.26
2025-01-25,103.51
2025-01-26,108.09
2025-01-27,106.01
2025-01-28,104.86
2025-01-29,105.12
2025-01-30,104.11
2025-01-31,100.94
2025-02-01,101.13
2025-02-02,99.03
2025-02-03,100.01
2025-02-04,98.23
2025-02-05,101.32
2025-02-06,99.78
2025-02-07,99.19
2025-02-08,100.85
2025-02-09,98.42
2025-02-10,98.92
2025-02-11,101.55
2025-02-12,98.34
2025-02-13,98.75
2025-02-14,99.31
2025-02-15,100.92
2025-02-16,98.47
2025-02-17,95.92
2025-02-18,96.97
2025-02-19,97.59
2025-02-20,98.13
2025-02-21,98.86
2025-02-22,97.57
2025-02-23,98.07
2025-02-24,98.69
2025-02-25,97.33
2025-02-26,101.01
2025-02-27,102.02
2025-02-28,99.64
2025-03-01,101.0
2025-03-02,99.08
2025-03-03,100.69
2025-03-04,103.07
2025-03-05,101.43
2025-03-06,103.44
2025-03-07,104.34
2025-03-08,106.11
2025-03-09,110.19
2025-03-10,109.7
2025-03-11,108.1
2025-03-12,106.23
2025-03-13,104.55
2025-03-14,104.45
2025-03-15,105.21
2025-03-16,105.84
2025-03-17,107.65
2025-03-18,107.73
2025-03-19,110.92
2025-03-20,110.38
2025-03-21,116.45
2025-03-22,117.96
2025-03-23,116.0
2025-03-24,113.57
2025-03-25,114.72
2025-03-26,114.27
2025-03-27,115.96
2025-03-28,117.11
2025-03-29,117.0
2025-03-30,115.08
2025-03-31,111.65
2025-04-01,110.71
2025-04-02,112.66
2025-04-03,113.2
2025-04-04,110.43
2025-04-05,110.87
2025-04-06,111.78
2025-04-07,109.86
2025-04-08,110.25
2025-04-09,110.44
2025-04-10,107.97
