Date,Price
2025-01-01,100.77
2025-01-02,101.95
2025-01-03,104.21
2025-01-04,106.45
2025-01-05,103.57
2025-01-06,101.68
2025-01-07,102.78
2025-01-08,103.89
2025-01-09,105.01
2025-01-10,113.15
2025-01-11,114.5
2025-01-12,117.16
2025-01-13,119.46
2025-01-14,121.07
2025-01-15,120.37
2025-01-16,122.26
2025-01-17,120.43
2025-01-18,119.92
2025-01-19,118.81
2025-01-20,119.07
2025-01-21,124.64
2025-01-22,120.05
2025-01-23,121.75
2025-01-24,117.89
2025-01-25,116.83
2025-01-26,119.44
2025-01-27,119.65
2025-01-28,117.13
2025-01-29,115.51
2025-01-30,117.14
2025-01-31,115.49
2025-02-01,116.05
2025-02-02,116.21
2025-02-03,114.75
2025-02-04,119.73
2025-02-05,121.31
2025-02-06,116.46
2025-02-07,116.95
2025-02-08,115.46
2025-02-09,117.49
2025-02-10,115.68
2025-02-11,115.48
2025-02-12,116.7
2025-02-13,118.78
2025-02-14,115.99
2025-02-15,115.27
2025-02-16,114.23
2025-02-17,112.8
2025-02-18,116.83
2025-02-19,117.84
2025-02-20,114.93
2025-02-21,117.09
2025-02-22,122.12
2025-02-23,124.7
2025-02-24,120.98
2025-02-25,119.87
2025-02-26,122.96
2025-02-27,121.28
2025-02-28,122.42
2025-03-01,124.38
2025-03-02,122.14
2025-03-03,122.05
2025-03-04,114.2
2025-03-05,111.92
2025-03-06,111.41
2025-03-07,108.68
2025-03-08,112.29
2025-03-09,109.13
2025-03-10,108.23
2025-03-11,108.56
2025-03-12,111.75
2025-03-13,108.59
2025-03-14,111.17
2025-03-15,111.25
2025-03-16,109.12
2025-03-17,110.19
2025-03-18,110.68
2025-03-19,109.41
2025-03-20,109.61
2025-03-21,108.82
2025-03-22,109.13
2025-03-23,110.63
2025-03-24,114.19
2025-03-25,111.42
2025-03-26,116.23
2025-03-27,111.75
2025-03-28,111.47
2025-03-29,112.83
2025-03-30,113.52
2025-03-31,112.17
2025-04-01,111.76
2025-04-02,110.71
2025-04-03,109.46
2025-04-04,111.38
2025-04-05,112.23
2025-04-06,110.73
2025-04-07,112.77
2025-04-08,113.52
2025-04-09,115.43
2025-04-10,116.94
