Date,Price
2025-01-01,98.39
2025-01-02,97.34
2025-01-03,98.84
2025-01-04,100.1
2025-01-05,100.11
2025-01-06,100.39
2025-01-07,103.01
2025-01-08,101.84
2025-01-09,103.01
2025-01-10,102.64
2025-01-11,102.24
2025-01-12,104.54
2025-01-13,106.32
2025-01-14,108.1
2025-01-15,110.98
2025-01-16,111.08
2025-01-17,112.65
2025-01-18,112.01
2025-01-19,112.79
2025-01-20,112.56
2025-01-21,112.83
2025-01-22,114.23
2025-01-23,112.42
2025-01-24,117.18
2025-01-25,114.88
2025-01-26,112.15
2025-01-27,114.8
2025-01-28,116.68
2025-01-29,118.19
2025-01-30,119.73
2025-01-31,119.76
2025-02-01,117.68
2025-02-02,117.91
2025-02-03,116.37
2025-02-04,118.7
2025-02-05,118.41
2025-02-06,116.52
2025-02-07,115.83
2025-02-08,116.84
2025-02-09,115.58
2025-02-10,113.74
2025-02-11,114.35
2025-02-12,114.97
2025-02-13,113.86
2025-02-14,112.84
2025-02-15,113.42
2025-02-16,110.2
2025-02-17,107.15
2025-02-18,105.66
2025-02-19,105.26
2025-02-20,105.97
2025-02-21,109.15
2025-02-22,111.08
2025-02-23,110.78
2025-02-24,110.79
2025-02-25,108.63
2025-02-26,108.64
2025-02-27,108.07
2025-02-28,108.82
2025-03-01,107.07
2025-03-02,108.24
2025-03-03,111.61
2025-03-04,111.42
2025-03-05,112.37
2025-03-06,113.98
2025-03-07,113.12
2025-03-08,113.69
2025-03-09,113.77
2025-03-10,114.05
2025-03-11,112.35
2025-03-12,112.46
2025-03-13,113.63
2025-03-14,116.99
2025-03-15,119.29
2025-03-16,124.49
2025-03-17,122.64
2025-03-18,124.84
2025-03-19,125.36
2025-03-20,130.91
2025-03-21,128.86
2025-03-22,126.76
2025-03-23,125.31
2025-03-24,120.05
2025-03-25,118.84
2025-03-26,117.1
2025-03-27,117.51
2025-03-28,118.37
2025-03-29,122.87
2025-03-30,125.27
2025-03-31,123.89
2025-04-01,121.72
2025-04-02,122.98
2025-04-03,119.8
2025-04-04,124.24
2025-04-05,127.24
2025-04-06,126.11
2025-04-07,121.85
2025-04-08,125.21
2025-04-09,124.99
2025-04-10,128.14
