Date,Price
2025-01-01,96.86
2025-01-02,95.75
2025-01-03,95.81
2025-01-04,95.94
2025-01-05,95.13
2025-01-06,96.36
2025-01-07,94.35
2025-01-08,94.13
2025-01-09,94.4
2025-01-10,95.42
2025-01-11,96.83
2025-01-12,94.7
2025-01-13,91.84
2025-01-14,94.23
2025-01-15,94.91
2025-01-16,93.53
2025-01-17,96.48
2025-01-18,96.75
2025-01-19,99.08
2025-01-20,99.27
2025-01-21,103.41
2025-01-22,107.09
2025-01-23,106.61
2025-01-24,108.74
2025-01-25,110.19
2025-01-26,113.26
2025-01-27,111.14
2025-01-28,112.72
2025-01-29,115.16
2025-01-30,111.16
2025-01-31,108.59
2025-02-01,104.22
2025-02-02,103.71
2025-02-03,105.25
2025-02-04,108.46
2025-02-05,108.68
2025-02-06,112.27
2025-02-07,109.23
2025-02-08,105.56
2025-02-09,105.5
2025-02-10,106.36
2025-02-11,106.34
2025-02-12,102.0
2025-02-13,101.87
2025-02-14,99.26
2025-02-15,100.64
2025-02-16,101.43
2025-02-17,99.57
2025-02-18,98.6
2025-02-19,96.56
2025-02-20,96.49
2025-02-21,98.38
2025-02-22,96.49
2025-02-23,97.51
2025-02-24,96.52
2025-02-25,95.04
2025-02-26,94.89
2025-02-27,92.97
2025-02-28,91.99
2025-03-01,89.83
2025-03-02,93.4
2025-03-03,93.51
2025-03-04,92.25
2025-03-05,92.69
2025-03-06,92.53
2025-03-07,92.17
2025-03-08,93.35
2025-03-09,94.81
2025-03-10,93.85
2025-03-11,92.82
2025-03-12,92.35
2025-03-13,88.15
2025-03-14,85.52
2025-03-15,87.9
2025-03-16,90.84
2025-03-17,90.43
2025-03-18,91.52
2025-03-19,92.13
2025-03-20,97.85
2025-03-21,100.09
2025-03-22,99.89
2025-03-23,98.03
2025-03-24,94.93
2025-03-25,95.36
2025-03-26,93.96
2025-03-27,91.34
2025-03-28,90.2
2025-03-29,88.3
2025-03-30,91.32
2025-03-31,92.98
2025-04-01,93.01
2025-04-02,95.81
2025-04-03,96.0
2025-04-04,94.4
2025-04-05,97.32
2025-04-06,98.42
2025-04-07,96.43
2025-04-08,96.11
2025-04-09,94.47
2025-04-10,91.91
