Date,Price
2025-01-01,101.9
2025-01-02,105.84
2025-01-03,102.94
2025-01-04,104.15
2025-01-05,102.84
2025-01-06,101.89
2025-01-07,100.74
2025-01-08,99.05
2025-01-09,99.19
2025-01-10,97.59
2025-01-11,98.17
2025-01-12,98.12
2025-01-13,97.7
2025-01-14,95.98
2025-01-15,94.92
2025-01-16,96.4
2025-01-17,97.41
2025-01-18,95.56
2025-01-19,95.79
2025-01-20,97.28
2025-01-21,94.08
2025-01-22,95.15
2025-01-23,93.94
2025-01-24,95.06
2025-01-25,93.65
2025-01-26,90.32
2025-01-27,87.43
2025-01-28,87.55
2025-01-29,88.05
2025-01-30,86.5
2025-01-31,87.65
2025-02-01,84.78
2025-02-02,84.71
2025-02-03,82.7
2025-02-04,81.67
2025-02-05,81.78
2025-02-06,80.42
2025-02-07,79.84
2025-02-08,81.49
2025-02-09,80.59
2025-02-10,81.97
2025-02-11,80.16
2025-02-12,81.05
2025-02-13,83.43
2025-02-14,79.35
2025-02-15,78.12
2025-02-16,79.06
2025-02-17,78.78
2025-02-18,79.41
2025-02-19,78.49
2025-02-20,78.66
2025-02-21,78.46
2025-02-22,80.33
2025-02-23,80.78
2025-02-24,81.36
2025-02-25,80.73
2025-02-26,79.99
2025-02-27,79.33
2025-02-28,80.0
2025-03-01,79.37
2025-03-02,79.87
2025-03-03,83.22
2025-03-04,84.71
2025-03-05,84.2
2025-03-06,86.27
2025-03-07,85.61
2025-03-08,82.16
2025-03-09,80.54
2025-03-10,77.57
2025-03-11,77.06
2025-03-12,77.13
2025-03-13,79.76
2025-03-14,80.32
2025-03-15,80.01
2025-03-16,81.37
2025-03-17,77.81
2025-03-18,78.22
2025-03-19,79.47
2025-03-20,77.16
2025-03-21,78.96
2025-03-22,79.53
2025-03-23,78.91
2025-03-24,79.95
2025-03-25,83.62
2025-03-26,83.97
2025-03-27,84.43
2025-03-28,83.69
2025-03-29,82.31
2025-03-30,83.72
2025-03-31,82.33
2025-04-01,82.49
2025-04-02,81.74
2025-04-03,82.56
2025-04-04,83.16
2025-04-05,84.92
2025-04-06,84.1
2025-04-07,83.69
2025-04-08,82.09
2025-04-09,81.4
2025-04-10,82.06
