Date,Price
2025-01-01,101.56
2025-01-02,99.74
2025-01-03,101.53
2025-01-04,104.33
2025-01-05,105.24
2025-01-06,109.25
2025-01-07,107.61
2025-01-08,104.99
2025-01-09,101.3
2025-01-10,104.39
2025-01-11,105.8
2025-01-12,105.74
2025-01-13,106.38
2025-01-14,104.04
2025-01-15,109.18
2025-01-16,109.52
2025-01-17,109.82
2025-01-18,111.46
2025-01-19,112.59
2025-01-20,113.15
2025-01-21,111.42
2025-01-22,112.53
2025-01-23,116.82
2025-01-24,120.02
2025-01-25,123.9
2025-01-26,122.7
2025-01-27,120.33
2025-01-28,120.09
2025-01-29,120.28
2025-01-30,122.98
2025-01-31,118.88
2025-02-01,122.57
2025-02-02,122.25
2025-02-03,121.26
2025-02-04,118.87
2025-02-05,114.99
2025-02-06,116.94
2025-02-07,117.17
2025-02-08,114.21
2025-02-09,111.31
2025-02-10,110.62
2025-02-11,114.36
2025-02-12,113.83
2025-02-13,110.46
2025-02-14,109.98
2025-02-15,109.43
2025-02-16,103.58
2025-02-17,103.52
2025-02-18,103.1
2025-02-19,104.58
2025-02-20,108.5
2025-02-21,111.0
2025-02-22,110.46
2025-02-23,108.07
2025-02-24,113.69
2025-02-25,113.88
2025-02-26,113.97
2025-02-27,113.97
2025-02-28,114.48
2025-03-01,114.2
2025-03-02,112.95
2025-03-03,111.77
2025-03-04,111.75
2025-03-05,110.6
2025-03-06,109.07
2025-03-07,109.36
2025-03-08,108.86
2025-03-09,112.19
2025-03-10,106.3
2025-03-11,108.67
2025-03-12,111.43
2025-03-13,106.87
2025-03-14,106.19
2025-03-15,105.45
2025-03-16,102.54
2025-03-17,100.99
2025-03-18,98.8
2025-03-19,102.31
2025-03-20,104.28
2025-03-21,106.98
2025-03-22,108.58
2025-03-23,106.18
2025-03-24,105.12
2025-03-25,106.2
2025-03-26,103.66
2025-03-27,105.19
2025-03-28,104.74
2025-03-29,104.0
2025-03-30,105.53
2025-03-31,106.52
2025-04-01,105.81
2025-04-02,108.31
2025-04-03,106.03
2025-04-04,107.39
2025-04-05,108.71
2025-04-06,108.1
2025-04-07,108.85
2025-04-08,106.18
2025-04-09,108.2
2025-04-10,107.85
