Date,Price
2025-01-01,99.0
2025-01-02,101.13
2025-01-03,99.76
2025-01-04,97.0
2025-01-05,94.03
2025-01-06,95.21
2025-01-07,92.82
2025-01-08,96.13
2025-01-09,92.17
2025-01-10,95.34
2025-01-11,95.79
2025-01-12,95.66
2025-01-13,94.66
2025-01-14,95.47
2025-01-15,95.44
2025-01-16,97.6
2025-01-17,97.87
2025-01-18,98.21
2025-01-19,97.54
2025-01-20,97.48
2025-01-21,98.13
2025-01-22,94.82
2025-01-23,92.31
2025-01-24,93.73
2025-01-25,94.1
2025-01-26,93.8
2025-01-27,93.88
2025-01-28,94.58
2025-01-29,93.61
2025-01-30,92.2
2025-01-31,92.61
2025-02-01,90.84
2025-02-02,91.63
2025-02-03,88.55
2025-02-04,90.42
2025-02-05,91.32
2025-02-06,91.83
2025-02-07,93.68
2025-02-08,96.85
2025-02-09,98.86
2025-02-10,95.27
2025-02-11,92.88
2025-02-12,91.77
2025-02-13,91.86
2025-02-14,92.86
2025-02-15,91.56
2025-02-16,91.95
2025-02-17,90.6
2025-02-18,89.54
2025-02-19,87.07
2025-02-20,85.5
2025-02-21,83.23
2025-02-22,81.65
2025-02-23,83.41
2025-02-24,81.87
2025-02-25,86.22
2025-02-26,87.11
2025-02-27,87.48
2025-02-28,86.02
2025-03-01,87.27
2025-03-02,86.31
2025-03-03,86.56
2025-03-04,91.04
2025-03-05,90.91
2025-03-06,93.04
2025-03-07,91.78
2025-03-08,91.76
2025-03-09,95.06
2025-03-10,93.91
2025-03-11,97.37
2025-03-12,98.79
2025-03-13,97.73
2025-03-14,99.02
2025-03-15,100.99
2025-03-16,102.3
2025-03-17,99.14
2025-03-18,97.74
2025-03-19,97.31
2025-03-20,97.21
2025-03-21,98.47
2025-03-22,98.87
2025-03-23,96.28
2025-03-24,97.06
2025-03-25,98.29
2025-03-26,99.44
2025-03-27,101.64
2025-03-28,103.39
2025-03-29,104.39
2025-03-30,104.29
2025-03-31,100.88
2025-04-01,101.8
2025-04-02,102.27
2025-04-03,102.88
2025-04-04,100.3
2025-04-05,98.18
2025-04-06,100.3
2025-04-07,100.27
2025-04-08,101.69
2025-04-09,101.8
2025-04-10,101.91
