Date,Price
2025-01-01,101.93
2025-01-02,100.93
2025-01-03,101.17
2025-01-04,100.29
2025-01-05,99.46
2025-01-06,98.9
2025-01-07,99.39
2025-01-08,98.49
2025-01-09,101.01
2025-01-10,99.25
2025-01-11,98.93
2025-01-12,98.11
2025-01-13,101.0
2025-01-14,101.45
2025-01-15,103.59
2025-01-16,100.56
2025-01-17,101.15
2025-01-18,103.0
2025-01-19,103.22
2025-01-20,105.47
2025-01-21,104.44
2025-01-22,107.43
2025-01-23,112.42
2025-01-24,111.66
2025-01-25,110.73
2025-01-26,114.0
2025-01-27,117.66
2025-01-28,116.49
2025-01-29,115.57
2025-01-30,114.97
2025-01-31,111.94
2025-02-01,109.94
2025-02-02,107.78
2025-02-03,106.18
2025-02-04,106.16
2025-02-05,106.71
2025-02-06,110.08
2025-02-07,107.93
2025-02-08,110.11
2025-02-09,109.7
2025-02-10,109.64
2025-02-11,111.18
2025-02-12,108.74
2025-02-13,109.62
2025-02-14,110.04
2025-02-15,111.18
2025-02-16,111.88
2025-02-17,117.43
2025-02-18,115.99
2025-02-19,114.82
2025-02-20,113.44
2025-02-21,112.24
2025-02-22,110.86
2025-02-23,113.56
2025-02-24,116.84
2025-02-25,115.56
2025-02-26,113.7
2025-02-27,114.83
2025-02-28,113.62
2025-03-01,115.11
2025-03-02,115.64
2025-03-03,112.19
2025-03-04,115.72
2025-03-05,119.93
2025-03-06,118.52
2025-03-07,117.66
2025-03-08,118.39
2025-03-09,119.24
2025-03-10,120.87
2025-03-11,125.79
2025-03-12,125.41
2025-03-13,123.47
2025-03-14,120.13
2025-03-15,118.43
2025-03-16,118.41
2025-03-17,122.72
2025-03-18,121.51
2025-03-19,122.12
2025-03-20,122.14
2025-03-21,125.1
2025-03-22,131.49
2025-03-23,130.16
2025-03-24,128.95
2025-03-25,131.7
2025-03-26,133.57
2025-03-27,138.57
2025-03-28,140.25
2025-03-29,139.32
2025-03-30,141.03
2025-03-31,144.23
2025-04-01,146.67
2025-04-02,148.23
2025-04-03,151.47
2025-04-04,155.08
2025-04-05,159.45
2025-04-06,161.6
2025-04-07,161.14
2025-04-08,161.69
2025-04-09,165.67
2025-04-10,163.05
