Date,Price
2025-01-01,100.79
2025-01-02,100.04
2025-01-03,100.15
2025-01-04,102.76
2025-01-05,103.21
2025-01-06,103.35
2025-01-07,100.6
2025-01-08,102.15
2025-01-09,103.52
2025-01-10,108.05
2025-01-11,107.44
2025-01-12,107.96
2025-01-13,108.55
2025-01-14,112.03
2025-01-15,111.88
2025-01-16,112.56
2025-01-17,113.98
2025-01-18,114.46
2025-01-19,113.5
2025-01-20,113.99
2025-01-21,116.5
2025-01-22,114.17
2025-01-23,114.53
2025-01-24,112.98
2025-01-25,115.74
2025-01-26,112.27
2025-01-27,111.07
2025-01-28,111.96
2025-01-29,115.53
2025-01-30,115.43
2025-01-31,114.21
2025-02-01,118.56
2025-02-02,115.19
2025-02-03,110.18
2025-02-04,111.2
2025-02-05,110.14
2025-02-06,107.95
2025-02-07,109.53
2025-02-08,110.12
2025-02-09,108.93
2025-02-10,106.2
2025-02-11,108.1
2025-02-12,109.56
2025-02-13,109.4
2025-02-14,113.5
2025-02-15,111.12
2025-02-16,107.79
2025-02-17,106.35
2025-02-18,106.31
2025-02-19,106.88
2025-02-20,106.42
2025-02-21,107.22
2025-02-22,104.59
2025-02-23,107.66
2025-02-24,107.54
2025-02-25,110.0
2025-02-26,110.8
2025-02-27,111.87
2025-02-28,113.2
2025-03-01,114.27
2025-03-02,115.8
2025-03-03,118.93
2025-03-04,119.46
2025-03-05,121.22
2025-03-06,121.06
2025-03-07,124.61
2025-03-08,122.98
2025-03-09,127.47
2025-03-10,127.43
2025-03-11,123.85
2025-03-12,124.23
2025-03-13,122.6
2025-03-14,124.72
2025-03-15,123.16
2025-03-16,122.12
2025-03-17,117.57
2025-03-18,116.56
2025-03-19,110.97
2025-03-20,107.51
2025-03-21,109.2
2025-03-22,110.97
2025-03-23,111.97
2025-03-24,109.86
2025-03-25,109.81
2025-03-26,109.86
2025-03-27,107.37
2025-03-28,110.65
2025-03-29,112.65
2025-03-30,112.2
2025-03-31,112.32
2025-04-01,112.84
2025-04-02,108.29
2025-04-03,107.81
2025-04-04,106.4
2025-04-05,104.32
2025-04-06,103.78
2025-04-07,107.57
2025-04-08,109.0
2025-04-09,107.81
2025-04-10,109.1
