Date,Price
2025-01-01,102.85
2025-01-02,104.8
2025-01-03,104.98
2025-01-04,103.67
2025-01-05,105.17
2025-01-06,106.05
2025-01-07,108.01
2025-01-08,109.43
2025-01-09,111.78
2025-01-10,110.64
2025-01-11,113.61
2025-01-12,114.12
2025-01-13,118.91
2025-01-14,117.33
2025-01-15,121.47
2025-01-16,122.01
2025-01-17,120.48
2025-01-18,119.37
2025-01-19,118.67
2025-01-20,119.73
2025-01-21,121.05
2025-01-22,119.72
2025-01-23,119.72
2025-01-24,124.91
2025-01-25,129.29
2025-01-26,130.48
2025-01-27,130.64
2025-01-28,131.02
2025-01-29,132.7
2025-01-30,130.05
2025-01-31,129.44
2025-02-01,125.19
2025-02-02,126.25
2025-02-03,127.95
2025-02-04,126.77
2025-02-05,130.83
2025-02-06,127.69
2025-02-07,124.01
2025-02-08,124.63
2025-02-09,127.3
2025-02-10,131.65
2025-02-11,130.51
2025-02-12,133.39
2025-02-13,133.36
2025-02-14,132.96
2025-02-15,135.38
2025-02-16,137.21
2025-02-17,132.95
2025-02-18,136.95
2025-02-19,140.8
2025-02-20,139.1
2025-02-21,140.28
2025-02-22,141.73
2025-02-23,142.54
2025-02-24,141.04
2025-02-25,139.22
2025-02-26,139.22
2025-02-27,142.55
2025-02-28,144.17
2025-03-01,143.18
2025-03-02,145.46
2025-03-03,137.24
2025-03-04,140.47
2025-03-05,135.65
2025-03-06,134.73
2025-03-07,131.78
2025-03-08,128.44
2025-03-09,131.48
2025-03-10,130.32
2025-03-11,131.29
2025-03-12,131.23
2025-03-13,132.55
2025-03-14,132.82
2025-03-15,129.48
2025-03-16,132.12
2025-03-17,130.88
2025-03-18,126.87
2025-03-19,125.85
2025-03-20,129.69
2025-03-21,131.96
2025-03-22,131.11
2025-03-23,130.26
2025-03-24,129.48
2025-03-25,134.93
2025-03-26,136.02
2025-03-27,137.26
2025-03-28,140.16
2025-03-29,140.9
2025-03-30,140.24
2025-03-31,139.76
2025-04-01,139.63
2025-04-02,139.59
2025-04-03,141.7
2025-04-04,141.91
2025-04-05,144.06
2025-04-06,143.9
2025-04-07,144.2
2025-04-08,138.51
2025-04-09,141.12
2025-04-10,142.17
