Date,Price
2025-01-01,102.05
2025-01-02,96.19
2025-01-03,100.25
2025-01-04,100.02
2025-01-05,102.29
2025-01-06,100.21
2025-01-07,101.49
2025-01-08,99.4
2025-01-09,98.21
2025-01-10,102.02
2025-01-11,101.68
2025-01-12,102.18
2025-01-13,104.01
2025-01-14,105.09
2025-01-15,105.46
2025-01-16,106.28
2025-01-17,111.44
2025-01-18,111.37
2025-01-19,111.87
2025-01-20,114.28
2025-01-21,116.86
2025-01-22,119.7
2025-01-23,121.28
2025-01-24,118.57
2025-01-25,122.51
2025-01-26,119.76
2025-01-27,120.54
2025-01-28,118.79
2025-01-29,118.69
2025-01-30,119.53
2025-01-31,120.36
2025-02-01,121.44
2025-02-02,125.42
2025-02-03,126.62
2025-02-04,126.06
2025-02-05,128.55
2025-02-06,131.68
2025-02-07,128.51
2025-02-08,130.11
2025-02-09,132.0
2025-02-10,131.28
2025-02-11,134.96
2025-02-12,134.62
2025-02-13,135.03
2025-02-14,134.63
2025-02-15,134.73
2025-02-16,131.85
2025-02-17,128.12
2025-02-18,132.27
2025-02-19,130.09
2025-02-20,127.58
2025-02-21,122.15
2025-02-22,120.65
2025-02-23,117.51
2025-02-24,121.43
2025-02-25,123.95
2025-02-26,122.3
2025-02-27,127.87
2025-02-28,130.45
2025-03-01,129.67
2025-03-02,123.25
2025-03-03,128.96
2025-03-04,125.44
2025-03-05,121.37
2025-03-06,123.92
2025-03-07,130.02
2025-03-08,133.69
2025-03-09,135.26
2025-03-10,136.94
2025-03-11,139.35
2025-03-12,141.53
2025-03-13,142.4
2025-03-14,142.77
2025-03-15,142.66
2025-03-16,140.58
2025-03-17,139.86
2025-03-18,135.19
2025-03-19,135.0
2025-03-20,132.39
2025-03-21,129.54
2025-03-22,130.07
2025-03-23,133.75
2025-03-24,136.28
2025-03-25,132.07
2025-03-26,129.52
2025-03-27,132.02
2025-03-28,129.49
2025-03-29,128.97
2025-03-30,130.46
2025-03-31,128.0
2025-04-01,128.33
2025-04-02,124.97
2025-04-03,123.53
2025-04-04,124.38
2025-04-05,120.48
2025-04-06,121.6
2025-04-07,121.62
2025-04-08,123.02
2025-04-09,123.63
2025-04-10,127.07
